filename,local_ocr_bibs,vision_bibs,agreement
_5D_0004.JPG,1129,129;1171,full_disagreement
_5D_0007.JPG,4107;1151;1081,illegible;1107;1153;1151;1081,partial_overlap
_5D_0009.JPG,1153;1151;1029,1153;1151;1029,match
_5D_0010.JPG,1029;1022;1153,1029;1022;1153;1151,partial_overlap
_5D_0011.JPG,1007,1007,match
_5D_0015.JPG,1069;4015,1016;1015;1069;1003,partial_overlap
_5D_0017.JPG,1199,1199,match
_5D_0022.JPG,10;1152;1165;1143,1143;1165;1152,partial_overlap
_5D_0023.JPG,1193;1192;1152,1152;1193;1192,match
_5D_0028.JPG,error,1034;1119;1144;1134;1048,ocr_missed_all
_5D_0029.JPG,none,none,match
_5D_0030.JPG,none,none,match
_5D_0035.JPG,1161;1134,1134;1048;1161,partial_overlap
_5D_0044.JPG,1128,1093;1128,partial_overlap
_5D_0045.JPG,4128,1093;1128,full_disagreement
_5D_0046.JPG,none,none,match
_5D_0047.JPG,none,none,match
_5D_0048.JPG,none,none,match
_5D_0051.JPG,1166;4176,1166;1101;1154;1176,partial_overlap
_5D_0054.JPG,46;1154,1154;1176,partial_overlap
_5D_0057.JPG,none,1046;1071,ocr_missed_all
_5D_0058.JPG,none,1071;1046,ocr_missed_all
_5D_0059.JPG,1071;1046,1071;1046,match
_5D_0061.JPG,none,1112,ocr_missed_all
_5D_0062.JPG,none,1105;1112,ocr_missed_all
_5D_0064.JPG,1054,1054;1112;1017;1136,partial_overlap
_5D_0066.JPG,36;1112;1098;1017,1112;1017;1136;1098,partial_overlap
_5D_0068.JPG,499,1092;1199,full_disagreement
_5D_0070.JPG,6092;1055,1092;1055,partial_overlap
_5D_0071.JPG,4083,1083,full_disagreement
_5D_0072.JPG,1070;1198;099,1070;1024;1099;1198,partial_overlap
_5D_0079.JPG,1198,1198;1182;1145,partial_overlap
_5D_0082.JPG,none,1059,ocr_missed_all
_5D_0085.JPG,1157;1074,1074;1157;1156,partial_overlap
_5D_0090.JPG,1019,1019,match
_5D_0097.JPG,1019,1019,match
_5D_0099.JPG,none,illegible,match
_5D_0101.JPG,4418,1118,full_disagreement
_5D_0102.JPG,none,illegible,match
_5D_0111.JPG,1184,1184;1096,partial_overlap
_5D_0114.JPG,1122;1104,1122;1104,match
_5D_0118.JPG,none,1052,ocr_missed_all
_5D_0119.JPG,1052,1052,match
_5D_0120.JPG,1026,1026,match
_5D_0121.JPG,1026,1026,match
_5D_0124.JPG,1049,1049,match
_5D_0129.JPG,none,1125,ocr_missed_all
_5D_0131.JPG,4125,1125,full_disagreement
_5D_0133.JPG,1125,1125,match
_5D_0134.JPG,1168,1168,match
_5D_0136.JPG,41,1111,full_disagreement
_5D_0139.JPG,1159;1140,1140;1159,match
_5D_0140.JPG,none,1159;1106,ocr_missed_all
_5D_0146.JPG,1041;4113,1113;1163;1041,partial_overlap
_5D_0147.JPG,1041,1113;1163;1041,partial_overlap
_5D_0148.JPG,1018,1018,match
_5D_0151.JPG,1018,1018,match
_5D_0152.JPG,none,1018,ocr_missed_all
