filename,bib_numbers,notes
_5D_0004.JPG,1129,
_5D_0007.JPG,4107;1151;1081,
_5D_0009.JPG,1153;1151;1029,
_5D_0010.JPG,1029;1022;1153,
_5D_0011.JPG,1007,
_5D_0015.JPG,1069;4015,
_5D_0017.JPG,1199,
_5D_0022.JPG,10;1152;1165;1143,
_5D_0023.JPG,1193;1192;1152,
_5D_0028.JPG,error,"OCR failed: OpenCV(5.0.0) /Users/xperience/GHA-OpenCV-Python/_work/opencv-python/opencv-python/opencv/modules/imgproc/src/resize.cpp:4217: error: (-215:Assertion failed) !ssize.empty() in function 'resize'
"
_5D_0029.JPG,none,no numeric text met the confidence/length threshold
_5D_0030.JPG,none,no numeric text met the confidence/length threshold
_5D_0035.JPG,1161;1134,
_5D_0044.JPG,1128,
_5D_0045.JPG,4128,
_5D_0046.JPG,none,no numeric text met the confidence/length threshold
_5D_0047.JPG,none,no numeric text met the confidence/length threshold
_5D_0048.JPG,none,no numeric text met the confidence/length threshold
_5D_0051.JPG,1166;4176,
_5D_0054.JPG,46;1154,
_5D_0057.JPG,none,no numeric text met the confidence/length threshold
_5D_0058.JPG,none,no numeric text met the confidence/length threshold
_5D_0059.JPG,1071;1046,
_5D_0061.JPG,none,no numeric text met the confidence/length threshold
_5D_0062.JPG,none,no numeric text met the confidence/length threshold
_5D_0064.JPG,1054,
_5D_0066.JPG,36;1112;1098;1017,
_5D_0068.JPG,499,
_5D_0070.JPG,6092;1055,
_5D_0071.JPG,4083,
_5D_0072.JPG,1070;1198;099,
_5D_0079.JPG,1198,
_5D_0082.JPG,none,no numeric text met the confidence/length threshold
_5D_0085.JPG,1157;1074,
_5D_0090.JPG,1019,
_5D_0097.JPG,1019,
_5D_0099.JPG,none,no numeric text met the confidence/length threshold
_5D_0101.JPG,4418,
_5D_0102.JPG,none,no numeric text met the confidence/length threshold
_5D_0111.JPG,1184,
_5D_0114.JPG,1122;1104,
_5D_0118.JPG,none,no numeric text met the confidence/length threshold
_5D_0119.JPG,1052,
_5D_0120.JPG,1026,
_5D_0121.JPG,1026,
_5D_0124.JPG,1049,
_5D_0129.JPG,none,no numeric text met the confidence/length threshold
_5D_0131.JPG,4125,
_5D_0133.JPG,1125,
_5D_0134.JPG,1168,
_5D_0136.JPG,41,
_5D_0139.JPG,1159;1140,
_5D_0140.JPG,none,no numeric text met the confidence/length threshold
_5D_0146.JPG,1041;4113,
_5D_0147.JPG,1041,
_5D_0148.JPG,1018,
_5D_0151.JPG,1018,
_5D_0152.JPG,none,no numeric text met the confidence/length threshold
_5D_0153.JPG,4488,
_5D_0154.JPG,1060;4081;1188,
_5D_0156.JPG,060,
_5D_0158.JPG,none,no numeric text met the confidence/length threshold
_5D_0161.JPG,1081,
_5D_0162.JPG,1081,
_5D_0165.JPG,1081,
_5D_0166.JPG,1081,
_5D_0167.JPG,none,no numeric text met the confidence/length threshold
_5D_0168.JPG,none,no numeric text met the confidence/length threshold
_5D_0170.JPG,1044,
_5D_0171.JPG,1044,
_5D_0173.JPG,4114,
_5D_0174.JPG,1078,
_5D_0177.JPG,1030,
_5D_0179.JPG,none,no numeric text met the confidence/length threshold
_5D_0180.JPG,1901;1047,
_5D_0181.JPG,1047;091,
_5D_0182.JPG,none,no numeric text met the confidence/length threshold
_5D_0184.JPG,4091,
_5D_0185.JPG,none,no numeric text met the confidence/length threshold
_5D_0187.JPG,4022;4137,
_5D_0189.JPG,none,no numeric text met the confidence/length threshold
_5D_0191.JPG,1181;106;1007,
_5D_0194.JPG,1185,
_5D_0195.JPG,1029;44012,
_5D_0198.JPG,1138,
_5D_0200.JPG,4013,
_5D_0206.JPG,1478,
_5D_0207.JPG,none,no numeric text met the confidence/length threshold
_5D_0208.JPG,none,no numeric text met the confidence/length threshold
_5D_0211.JPG,1089,
_5D_0212.JPG,4124,
_5D_0213.JPG,1124,
_5D_0217.JPG,1124,
_5D_0218.JPG,1124,
_5D_0227.JPG,1085,
_5D_0228.JPG,none,no numeric text met the confidence/length threshold
_5D_0229.JPG,1010,
_5D_0230.JPG,none,no numeric text met the confidence/length threshold
_5D_0237.JPG,4170;1153;1151,
_5D_0238.JPG,4170;1151,
_5D_0239.JPG,none,no numeric text met the confidence/length threshold
_5D_0240.JPG,1095;4130,
_5D_0241.JPG,none,no numeric text met the confidence/length threshold
_5D_0245.JPG,4130,
_5D_0250.JPG,430,
_5D_0251.JPG,4030,
_5D_0252.JPG,none,no numeric text met the confidence/length threshold
_5D_0255.JPG,none,no numeric text met the confidence/length threshold
_5D_0256.JPG,none,no numeric text met the confidence/length threshold
_5D_0257.JPG,none,no numeric text met the confidence/length threshold
_5D_0261.JPG,none,no numeric text met the confidence/length threshold
_5D_0263.JPG,none,no numeric text met the confidence/length threshold
_5D_0264.JPG,1189;1103;1057,
_5D_0266.JPG,1189;1165;1194;1103,
_5D_0267.JPG,1165,
_5D_0268.JPG,4103,
_5D_0270.JPG,1034;1017,
_5D_0272.JPG,1136;4017;4193,
_5D_0275.JPG,1136;1017,
_5D_0278.JPG,1492,
_5D_0280.JPG,4193,
_5D_0281.JPG,4193;4192,
_5D_0284.JPG,1027;4028,
_5D_0290.JPG,1077,
_5D_0291.JPG,1197,
_5D_0292.JPG,1197,
_5D_0293.JPG,1197,
_5D_0294.JPG,0197,
_5D_0295.JPG,4197,
_5D_0296.JPG,1197,
_5D_0298.JPG,1055,
_5D_0300.JPG,4065,
_5D_0301.JPG,1068;1161,
_5D_0309.JPG,1161,
_5D_0311.JPG,1161,
_5D_0312.JPG,1161,
_5D_0313.JPG,0182,
_5D_0314.JPG,1182,
_5D_0316.JPG,4182,
_5D_0320.JPG,none,no numeric text met the confidence/length threshold
_5D_0321.JPG,none,no numeric text met the confidence/length threshold
_5D_0322.JPG,none,no numeric text met the confidence/length threshold
_5D_0326.JPG,1099,
_5D_0331.JPG,4024,
_5D_0333.JPG,1097,
_5D_0337.JPG,4015,
_5D_0338.JPG,4015,
_5D_0339.JPG,4015,
_5D_0341.JPG,1162,
_5D_0346.JPG,none,no numeric text met the confidence/length threshold
_5D_0347.JPG,none,no numeric text met the confidence/length threshold
_5D_0348.JPG,none,no numeric text met the confidence/length threshold
_5D_0352.JPG,1156,
_5D_0354.JPG,none,no numeric text met the confidence/length threshold
_5D_0355.JPG,none,no numeric text met the confidence/length threshold
_5D_0356.JPG,none,no numeric text met the confidence/length threshold
_5D_0357.JPG,1072,
_5D_0363.JPG,1109;22,
_5D_0365.JPG,1093,
_5D_0367.JPG,1014;1093,
